0,noto,233460,32209.073312
1,piangea,4741192,81176.622633
2,spenti!,1014671, 4476.013614
3,misericordia,496325,61628.929334
4,quando,4476757,10838.641053
5,Arrio,3754104,99560.485603
6,terra,4271997, 4410.390699
7,giace;,4896376,23517.728303
8,fornito,2735414,68601.754091
9,ferro,2163766,59111.526206
10,Parisi?».,2369159,85156.781672
11,quali,1188961,44967.270641
12,occhio,3843159,13586.470847
13,Clïò,2146160,48243.610119
14,donna,3119429,22818.165048
15,segnor,4120770,79957.986270
16,noto,4599783,91798.216288
17,rezzo;,4606238,25986.016683
18,sono,872018,67866.844358
19,così,2360017,11812.276168
20,Guido,1337499, 7534.889704
21,Isifile,1348323,81317.768634
22,Donna,1115348,36400.967256
23,labbra,1677122,77937.442951
24,biondo,4562917,27489.326391
25,qualunque,2570634,69433.601852
26,ver',1200616,26743.523287
27,manda,4961851,23357.736222
28,diversamente,1859749,68746.634939
29,appetibili,2479328,82973.910109
30,quanto,2050631,65515.304742
31,questa,1380061,32743.834321
32,nostra,246733,35516.341142
33,sinistra,4888510,42178.975005
34,pastori,2900650,44651.941602
35,tenuto,837404,66367.752719
36,mosterrà,1882381,59133.765665
37,Cotal,3812543,53801.100029
38,lui:,4889768, 9561.616600
39,carole.,220718,68781.368756
40,questa,1771302,30899.938205
41,oramai,1065736, 9736.532760
42,Isifile,3072457, 4883.740674
43,Allor,4395887,89908.787834
44,così,4690978,64767.168154
45,altrui,1175684, 5659.325991
46,tardar,4558239,30621.163534
47,presi;,905258,54918.495520
48,l'ali,3135302,88085.133288
49,questo,155330,49989.297741
50,ch'a,2421788,90806.450594